TUindex	tr_id	tr_TSS_pos	tr_TSS_strength	tr_TUorient	tr_TTS_pos	tr_rate	number of transcripts generated
0	0	1001	0.2	1	2000	0.2	200
1	1	4001	0.2	1	5000	0.2	168
2	2	7001	0.2	1	8000	0.2	178
3	3	10001	0.2	1	11000	0.2	175
4	4	13001	0.2	1	14000	0.2	209
5	5	16001	0.2	1	17000	0.2	215
6	6	19001	0.2	1	20000	0.2	177
7	7	22001	0.2	1	23000	0.2	190
8	8	25001	0.2	1	26000	0.2	192
9	9	28001	0.2	1	29000	0.2	168
